[2021-04-30T09:22:49.152+0300][0.002s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2021-04-30T09:22:49.168+0300][0.017s][info][gc] Using Shenandoah
[2021-04-30T09:22:51.376+0300][2,226s][info][gc] GC(12) Concurrent evacuation 0,979ms
[2021-04-30T09:22:51.376+0300][2,226s][info][gc] GC(12) Pause Init Update Refs 0,005ms
[2021-04-30T09:22:51.379+0300][2,229s][info][gc] GC(12) Concurrent update references 2,585ms
[2021-04-30T09:22:51.379+0300][2,229s][info][gc] GC(12) Pause Final Update Refs 0,106ms
[2021-04-30T09:22:51.380+0300][2,229s][info][gc] GC(12) Concurrent cleanup 112M->18M(128M) 0,066ms
[2021-04-30T09:22:51.548+0300][2,398s][info][gc] Trigger: Free (13004K) is below minimum threshold (13107K)
[2021-04-30T09:22:51.548+0300][2,398s][info][gc] GC(13) Concurrent reset 0,120ms
[2021-04-30T09:22:51.549+0300][2,398s][info][gc] GC(13) Pause Init Mark 0,153ms
[2021-04-30T09:22:51.553+0300][2,403s][info][gc] GC(13) Concurrent marking 4,252ms
[2021-04-30T09:22:51.553+0300][2,403s][info][gc] GC(13) Pause Final Mark 0,263ms
[2021-04-30T09:22:51.554+0300][2,403s][info][gc] GC(13) Concurrent cleanup 110M->110M(128M) 0,039ms
[2021-04-30T09:22:51.555+0300][2,404s][info][gc] GC(13) Concurrent evacuation 1,173ms
[2021-04-30T09:22:51.555+0300][2,404s][info][gc] GC(13) Pause Init Update Refs 0,008ms
[2021-04-30T09:22:51.558+0300][2,407s][info][gc] GC(13) Concurrent update references 2,900ms
[2021-04-30T09:22:51.558+0300][2,407s][info][gc] GC(13) Pause Final Update Refs 0,047ms
[2021-04-30T09:22:51.558+0300][2,408s][info][gc] GC(13) Concurrent cleanup 114M->22M(128M) 0,065ms
[2021-04-30T09:22:51.691+0300][2,541s][info][gc] Trigger: Free (12544K) is below minimum threshold (13107K)
[2021-04-30T09:22:51.691+0300][2,541s][info][gc] GC(14) Concurrent reset 0,124ms
[2021-04-30T09:22:51.692+0300][2,541s][info][gc] GC(14) Pause Init Mark 0,199ms
[2021-04-30T09:22:51.697+0300][2,546s][info][gc] GC(14) Concurrent marking 4,999ms
[2021-04-30T09:22:51.697+0300][2,547s][info][gc] GC(14) Pause Final Mark 0,333ms
[2021-04-30T09:22:51.697+0300][2,547s][info][gc] GC(14) Concurrent cleanup 110M->110M(128M) 0,038ms
[2021-04-30T09:22:51.698+0300][2,548s][info][gc] GC(14) Concurrent evacuation 1,048ms
[2021-04-30T09:22:51.698+0300][2,548s][info][gc] GC(14) Pause Init Update Refs 0,004ms
[2021-04-30T09:22:51.701+0300][2,551s][info][gc] GC(14) Concurrent update references 3,002ms
[2021-04-30T09:22:51.702+0300][2,551s][info][gc] GC(14) Pause Final Update Refs 0,099ms
[2021-04-30T09:22:51.702+0300][2,551s][info][gc] GC(14) Concurrent cleanup 112M->21M(128M) 0,064ms
[2021-04-30T09:22:51.842+0300][2,691s][info][gc] Trigger: Free (12544K) is below minimum threshold (13107K)
[2021-04-30T09:22:51.842+0300][2,691s][info][gc] GC(15) Concurrent reset 0,204ms
[2021-04-30T09:22:51.842+0300][2,692s][info][gc] GC(15) Pause Init Mark (process weakrefs) 0,200ms
[2021-04-30T09:22:51.848+0300][2,698s][info][gc] GC(15) Concurrent marking (process weakrefs) 5,775ms
[2021-04-30T09:22:51.848+0300][2,698s][info][gc] GC(15) Concurrent precleaning 0,143ms
[2021-04-30T09:22:51.849+0300][2,698s][info][gc] GC(15) Pause Final Mark (process weakrefs) 0,343ms
[2021-04-30T09:22:51.849+0300][2,698s][info][gc] GC(15) Concurrent cleanup 110M->110M(128M) 0,041ms
